TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.472.10	-	0.532288280011493	-0.630570056683441	40	3	0.00504201680672269	595	8569	5925,894,151195	RB1,CCND2,CCNYL1
3.30.710.10	-	0.540274280503486	-0.615678341516692	187	13	0.0218487394957983	595	8569	65986,253461,55958,9886,7126,55727,57621,25948,3751,23276,27107,54793,10009	ZBTB10,ZBTB38,KLHL9,RHOBTB1,TNFAIP1,BTBD7,ZBTB2,KBTBD2,KCND2,KLHL18,ZBTB11,KCTD9,ZBTB33
2.40.155.10	-	0.547103671736933	-0.603116966662838	11	1	0.00168067226890756	595	8569	4811	NID1
2.60.40.1120	-	0.547103671736933	-0.603116966662838	11	1	0.00168067226890756	595	8569	1362	CPD
3.40.50.800	-	0.547103671736933	-0.603116966662838	11	1	0.00168067226890756	595	8569	80222	TARS2
3.30.260.10	-	0.547103671736933	-0.603116966662838	11	1	0.00168067226890756	595	8569	200576	PIKFYVE
3.30.750.24	-	0.547103671736933	-0.603116966662838	11	1	0.00168067226890756	595	8569	1836	SLC26A2
1.25.40.90	-	0.547704214888292	-0.602019891607152	26	2	0.00336134453781513	595	8569	10043,57466	TOM1,SCAF4
1.25.40.20	-	0.559182587869628	-0.581279226119518	248	17	0.0285714285714286	595	8569	287,79813,375248,119385,8658,2553,27130,57534,57498,56899,29123,54776,26064,55075,23253,81573,140460	ANK2,EHMT1,ANKRD36,AGAP11,TNKS,GABPB1,INVS,MIB1,KIDINS220,ANKS1B,ANKRD11,PPP1R12C,RAI14,UACA,ANKRD12,ANKRD13C,ASB7
3.40.50.620	-	0.565907164546933	-0.569325234466845	42	3	0.00504201680672269	595	8569	89978,10352,5130	DPH6,WARS2,PCYT1A
2.130.10.80	-	0.568478234928255	-0.564792251611061	27	2	0.00336134453781513	595	8569	23276,55958	KLHL18,KLHL9
1.20.90.10	-	0.578591556206581	-0.547158480036771	12	1	0.00168067226890756	595	8569	81579	PLA2G12A
3.10.390.10	-	0.578591556206581	-0.547158480036771	12	1	0.00168067226890756	595	8569	6672	SP100
2.60.120.260	-	0.578950281649662	-0.546538674440405	73	5	0.00840336134453781	595	8569	8829,285761,51430,79654,4921	NRP1,DCBLD1,SUCO,HECTD3,DDR2
3.10.20.30	-	0.607893650871793	-0.497755328644903	13	1	0.00168067226890756	595	8569	80222	TARS2
4.10.900.10	-	0.607927085092032	-0.497700330043122	29	2	0.00336134453781513	595	8569	1824,6934	DSC2,TCF7L2
1.10.238.10	-	0.632603968310293	-0.457910695113676	259	17	0.0285714285714286	595	8569	1756,1837,91860,10518,87,826,4925,23499,23236,50618,824,2820,6717,6772,5332,9813,5311	DMD,DTNA,CALML4,CIB2,ACTN1,CAPNS1,NUCB2,MACF1,PLCB1,ITSN2,CAPN2,GPD2,SRI,STAT1,PLCB4,EFCAB14,PKD2
1.20.930.10	-	0.635161448639345	-0.453876062579714	14	1	0.00168067226890756	595	8569	5514	PPP1R10
3.50.7.10	-	0.635161448639345	-0.453876062579714	14	1	0.00168067226890756	595	8569	200576	PIKFYVE
2.60.40.420	-	0.635161448639345	-0.453876062579714	14	1	0.00168067226890756	595	8569	1948	EFNB2
1.20.80.10	-	0.6573846831189	-0.419485917203704	48	3	0.00504201680672269	595	8569	91452,55691,64746	ACBD5,FRMD4A,ACBD3
1.10.1000.11	-	0.66053595922874	-0.414703714066053	15	1	0.00168067226890756	595	8569	9922	IQSEC1
1.10.880.10	-	0.684148433415253	-0.379580376985362	16	1	0.00168067226890756	595	8569	4780	NFE2L2
2.40.20.10	-	0.684148433415253	-0.379580376985362	16	1	0.00168067226890756	595	8569	113791	PIK3IP1
3.20.20.100	-	0.684148433415253	-0.379580376985362	16	1	0.00168067226890756	595	8569	7881	KCNAB1
1.10.1070.11	-	0.684148433415253	-0.379580376985362	16	1	0.00168067226890756	595	8569	5591	PRKDC
