ProbeID	PrimaryAccession
A_23_P83634	NM_001139
A_24_P203328	NR_002223
A_24_P67063	A_24_P67063
A_23_P98532	NM_015457
A_32_P8221	NM_000845
A_23_P26771	NM_006678
A_23_P210323	AB011154
A_32_P146871	CA426390
A_32_P219753	NM_004805
A_24_P28367	NM_004371
A_24_P910608	AI821351
A_24_P316601	NM_001001938
A_32_P198923	NM_145690
A_24_P696996	AK056703
A_23_P105138	NM_001752
A_32_P187458	BQ233242
A_23_P8095	NM_006913
A_32_P139505	THC2555665
A_23_P210319	NM_183360
A_23_P26745	AK026675
A_24_P482592	THC2727097
A_23_P26746	AK026675
A_32_P24794	AY562498
A_24_P937240	U09197
A_32_P224040	A_32_P224040
A_32_P224047	NM_207303
A_23_P76684	NM_006054
A_23_P42848	NM_194455
A_23_P143748	NM_015140
A_23_P162449	NM_020762
A_24_P15980	AF161361
A_23_P321630	NM_020810
A_32_P199126	NM_005559
A_23_P138856	NM_006442
A_24_P203308	NM_182489
A_23_P105144	NM_020974
A_23_P210300	NM_018263
A_32_P887687	BC030752
A_24_P340491	BC058160
A_23_P76658	NM_052818
A_24_P306214	NM_020947
A_23_P15394	NM_001251
A_24_P377394	NM_003449
A_24_P340498	ENST00000358916
A_23_P105118	NM_001005237
A_24_P164894	NM_006052
A_23_P76654	NM_001265
A_23_P210379	NM_175609
A_24_P632846	AW973470
A_24_P878419	XR_018797
A_24_P203315	NM_182553
A_24_P244952	NM_015092
A_24_P636974	A_24_P636974
A_32_P8234	THC2686750
A_23_P86818	NM_004813
A_23_P259632	NM_031925
A_32_P15838	THC2723388
A_23_P324890	A_23_P324890
A_32_P81768	NM_174909
A_23_P35252	NM_000066
A_24_P67027	NM_003993
A_23_P316960	NM_000837
A_23_P210361	NM_022082
A_32_P118461	AA993531
A_24_P244944	NM_018349
A_24_P96857	A_24_P96857
A_24_P481263	AI376865
A_32_P15829	AW389914
A_24_P170103	A_24_P170103
A_23_P259663	NM_014569
A_23_P212579	NM_004393
A_23_P408675	NM_003972
A_24_P340474	AK057601
A_23_P53530	NM_025198
A_24_P331537	NM_021049
A_24_P859967	BC085019
A_23_P210358	NM_004987
A_32_P8251	NM_020901
A_24_P85117	BC059382
A_23_P399834	NM_176810
A_24_P340428	NM_014616
A_23_P259611	NM_016616
A_24_P618247	AK123834
A_23_P15348	NM_015134
A_24_P160466	NM_052899
A_24_P170136	ENST00000308384
A_23_P53541	NM_001273
A_24_P65537	ENST00000357684
A_24_P48139	NM_012091
A_23_P253331	NM_005515
A_23_P210348	NM_004718
A_24_P384196	A_24_P384196
A_32_P187985	THC2691517
A_23_P259641	NM_004456
A_24_P312895	NM_019625
A_23_P53557	NM_002342
A_23_P76610	ENST00000382921
A_24_P118721	A_24_P118721
A_24_P354615	NM_001040446
A_24_P210406	NM_001730
A_23_P349025	NM_001010860
A_24_P319715	NM_005742
A_24_P244916	NM_001018108
A_32_P24731	AI815088
A_24_P464701	A_24_P464701
A_24_P197196	NM_005689
A_24_P170119	AF119900
A_24_P390583	NM_020718
A_23_P123193	NM_020445
A_24_P476533	THC2668327
A_32_P205323	NM_001004351
A_23_P33868	NM_005296
A_32_P198990	AK126439
A_32_P24709	NM_198494
A_23_P76799	NM_013448
A_32_P75581	NM_152414
A_24_P170147	A_24_P170147
A_32_P112752	XM_498537
A_24_P153002	A_24_P153002
A_24_P153003	XR_019238
A_24_P913620	A_24_P913620
A_23_P3083	A_23_P3083
A_24_P76898	AL834350
A_24_P647146	NM_015401
A_23_P76633	NM_052867
A_23_P15375	NM_024585
A_24_P319736	NM_002398
A_24_P213788	BC020624
A_24_P896765	THC2667205
A_23_P83683	NM_014429
A_23_P253389	NM_003040
A_24_P85158	NM_012239
A_32_P93894	A_32_P93894
A_32_P205303	ENST00000376646
A_23_P151970	NM_015322
A_23_P151975	NM_016321
A_32_P133464	AI885257
A_24_P48177	AK127322
A_24_P121631	NM_033410
A_23_P253395	NM_006377
A_23_P381577	NM_145011
A_24_P85123	AK024440
A_32_P24762	AW589254
A_24_P50801	NM_201264
A_23_P360079	NM_207363
A_24_P68585	NM_183001
A_32_P72110	AK098812
A_32_P341723	AK097894
