Probe Set ID	UniGene ID
1416542_at	Mm.258953
1416543_at	Mm.1025
1416544_at	Mm.246688
1416545_at	Mm.240076
1416546_a_at	Mm.262021
1416547_at	Mm.2033
1416548_at	Mm.245527
1416549_at	Mm.245527
1416550_at	Mm.245527
1416551_at	Mm.227583
1416552_at	Mm.139314
1416553_at	Mm.259716
1416554_at	Mm.5567
1416555_at	Mm.4337
1416556_at	Mm.35650
1416557_a_at	Mm.873
1416558_at	Mm.268668
1416559_at	Mm.231400
1416560_at	Mm.250738
1416561_at	Mm.272120
1416562_at	Mm.272120
1416563_at	Mm.1815
1416564_at	Mm.42162
1416565_at	Mm.400
1416566_at	Mm.22584
1416567_s_at	Mm.20841
1416568_a_at	Mm.297078
1416569_at	Mm.41077
1416570_s_at	Mm.122466
1416571_at	Mm.390418
1416572_at	Mm.280175
1416573_at	Mm.203556
1416574_at	Mm.246237
1416575_at	Mm.1248
1416576_at	Mm.3468
1416577_a_at	Mm.29405
1416578_at	Mm.29405
1416579_a_at	Mm.472687
1416580_a_at	Mm.277599
1416581_at	Mm.28265
1416582_a_at	Mm.4387
1416583_at	Mm.4387
1416584_at	Mm.761
1416585_at	Mm.42195
1416586_at	Mm.249661
1416587_a_at	Mm.4347
1416588_at	Mm.2902
1416589_at	Mm.291442
1416590_a_at	Mm.275864
1416591_at	Mm.275864
1416592_at	Mm.25844
1416593_at	Mm.25844
1416594_at	Mm.281691
1416595_at	Mm.17949
1416596_at	Mm.183126
1416597_at	Mm.279188
1416598_at	Mm.134072
1416599_at	Mm.134072
1416600_a_at	Mm.265744
1416601_a_at	Mm.265744
1416602_a_at	Mm.149
1416603_at	Mm.307846
1416604_at	Mm.29196
1416605_at	Mm.28203
1416606_s_at	Mm.28203
1416607_at	Mm.261842
1416608_a_at	Mm.290116
1416609_at	Mm.290116
1416610_a_at	Mm.259751
1416611_at	Mm.286069
1416612_at	Mm.214016
1416613_at	Mm.214016
1416614_at	Mm.425101
1416615_at	Mm.287892
1416616_s_at	Mm.287892
1416617_at	Mm.7044
1416618_at	Mm.266888
1416619_at	Mm.273584
1416620_at	Mm.274232
1416621_at	Mm.285453
1416622_at	Mm.29508
1416623_at	Mm.2114
1416624_a_at	Mm.391774
1416625_at	Mm.38888
1416626_at	Mm.20190
1416627_at	Mm.104955
1416628_at	Mm.440071
1416629_at	Mm.1056
1416630_at	Mm.110
1416631_at	Mm.197568
1416632_at	Mm.148155
1416633_a_at	Mm.27107
1416634_at	Mm.27107
1416635_at	Mm.2379
1416636_at	Mm.319175
1416637_at	Mm.4580
1416638_at	Mm.39487
1416639_at	Mm.260220
1416640_at	Mm.58507
1416641_at	Mm.288179
1416642_a_at	Mm.297482
1416643_at	Mm.297482
1416644_a_at	Mm.4083
1416645_a_at	Mm.358570
1416646_at	Mm.358570
1416647_at	Mm.25848
1416648_at	Mm.181430
1416649_at	Mm.2197
1416650_at	Mm.28764
1416651_at	Mm.2310
1416652_at	Mm.383216
1416653_at	Mm.316894
1416654_at	Mm.292539
1416655_at	Mm.441410
1416656_at	Mm.29524
1416657_at	Mm.6645
1416658_at	Mm.427436
1416659_at	Mm.2238
1416660_at	Mm.2238
1416661_at	Mm.2238
1416662_at	Mm.278467
1416663_at	Mm.29939
1416664_at	Mm.289747
1416665_at	Mm.20634
1416666_at	Mm.3093
1416667_at	Mm.27183
1416668_at	Mm.244512
1416669_s_at	Mm.3746
1416670_at	Mm.181661
1416671_a_at	Mm.8356
1416672_s_at	Mm.8356
1416673_at	Mm.97885
1416674_at	Mm.4860
1416675_s_at	Mm.23963
1416676_at	Mm.2160
1416677_at	Mm.2266
1416678_at	Mm.40
1416679_at	Mm.399042
1416680_at	Mm.9002
1416681_at	Mm.9002
1416682_at	Mm.9002
1416683_at	Mm.267514
1416684_at	Mm.4595
1416685_s_at	Mm.4595
1416686_at	Mm.79983
1416687_at	Mm.79983
1416688_at	Mm.281651
1416689_at	Mm.10214
1416690_at	Mm.22147
1416691_at	Mm.22147
1416692_at	Mm.268004
1416693_at	Mm.14092
1416694_at	Mm.61206
1416695_at	Mm.1508
1416696_at	Mm.294870
1416697_at	Mm.1151
1416698_a_at	Mm.3049
1416699_at	Mm.29264
1416700_at	Mm.46497
1416701_at	Mm.46497
1416702_at	Mm.41560
1416703_at	Mm.311337
1416704_at	Mm.311337
1416705_at	Mm.240912
1416706_at	Mm.240912
